id,code,instar,site,year,lat,lon,river
1_RAD_XB,LOW,Female,Lowlands,2022,-32.330703,115.912857,South
2_RAD_XB,TIM,Female,Timaru Road,2022,-31.495022,115.904704,North
3_RAD_XB,QUI,Female,Quicke Road East,2022,-31.70558211,115.9471432,North
4_RAD_XB,TIM,Female,Timaru South West,2022,-31.506412,115.877504,North
5_RAD_XB,GHO,Female,Ghost House Road,2022,-31.537742,115.67024,North
6_RAD_XB,TAM,Female,Tamworth Hill,2022,-32.318752,115.800698,South
7_RAD_XB,CYP,Female,Cypress Road,2022,-31.585727,115.797999,North
8_RAD_XB,ACO,Nymph,Acourt Road,2021,-32.100102,115.906932,South
9_RAD_XB,ALT,Male,Alta Mare Conservation Park,2022,-30.29817229,115.1144713,North
10_RAD_XB,BAN,Male,Banksia Track,2021,-31.592082,115.948664,North
11_RAD_XB,BAR,Nymph,Barragoon 2005,2021,-31.356288,115.583585,North
12_RAD_XB,BAR,Male,Barragoon 2015,2022,-31.35653,115.590747,North
13_RAD_XB,BRO,Male,Brockway Road 2004,2021,-31.255395,115.526988,North
14_RAD_XB,CAR,Nymph,Caraban Road,2021,-31.412648,115.61259,North
15_RAD_XB,CLO,Male,Clover Road,2021,-31.474953,115.858252,North
16_RAD_XB,COP,Nymph,Coppino Road,2022,-31.375108,115.646674,North
17_RAD_XB,CUL,Male,Cullalla Road,2021,-31.246574,116.003719,North
18_RAD_XB,DUR,Female,Duringen Road,2021,-31.165286,115.604758,North
19_RAD_XB,ELD,Female,El Dorado,2022,-31.376613,115.763206,North
20_RAD_XB,GAS,Nymph,Gas Pipeline,2022,-31.706557,115.952753,North
21_RAD_XB,KAR,Female,Karnup Nature Reserve,2022,-32.370014,115.826005,South
22_RAD_XB,MIL,Female,Military Road,2021,-31.362958,115.693549,North
23_RAD_XB,MIN,Male,Mindarra Springs,2021,-31.126496,115.909605,North
24_RAD_XB,MOG,Nymph,Mogumber Road,2022,-31.017466,115.877893,North
25_RAD_XB,NIS,Nymph,Nisa Road,2022,-31.589546,115.786788,North
26_RAD_XB,NUT,Female,Nuytsia Road,2022,-31.416445,115.733391,North
27_RAD_XB,PAG,Male,Paganoni,2022,-32.445267,115.787788,South
28_RAD_XB,POR,Nymph,Port Kennedy,2020,-32.366492,115.735696,South
29_RAD_XB,QUI,Nymph,Quicke Road,2022,-31.708168,115.91575,North
30_RAD_XB,RGU,Male,Red Gully,2021,-31.044513,115.891888,North
31_RAD_XB,SDO,Female,San Dorado,2021,-31.376364,115.794351,North
32_RAD_XB,SAN,Female,Sandringham Road 2001,2021,-31.384525,115.797773,North
33_RAD_XB,SAN,Female,Sandringham Road 2011,2021,-31.37066923,115.8007951,North
34_RAD_XB,SAN,Female,Sandringham Road,2022,-31.377929,115.803407,North
35_RAD_XB,TAM,Female,Tamworth,2022,-32.316143,115.805139,South
36_RAD_XB,TAN,Nymph,Tangletoe Road,2021,-31.366481,115.784335,North
37_RAD_XB,WAT,Female,Wattle Avenue,2021,-31.660668,115.782978,North
38_RAD_XB,YAN,Nymph,Yanchep 1991,2022,-31.548587,115.666923,North
39_RAD_XB,YEA,Female,Yeal 1979,2022,-31.37438,115.777336,North
40_RAD_XB,YEL,Female,Yellagonga Whitfords Avenue,2022,-31.799509,115.808254,North
